Sandwich Label,Ingredient Label
Gatsby,ketchup
Gatsby,ketchup
Gatsby,ketchup
Gatsby,Bologna sausage
Gatsby,Bologna sausage
Gatsby,Bologna sausage
Gatsby,Bologna sausage
German chocolate cake,pecan nut
German chocolate cake,coconut
German chocolate cake,chocolate
Gilgeori toast,ketchup
Gilgeori toast,scallion
Gilgeori toast,onion
Gilgeori toast,chicken egg
Gilgeori toast,carrot
Gilgeori toast,butter
Gilgeori toast,cabbage
Gilgeori toast,sugar
grilletta,frikadeller
grilletta,chutney
gyros,stuffing
gyros,potato
ham and cheese sandwich,ham
ham and cheese sandwich,cheese
ham and egg bun,egg as food
ham and egg bun,flour
ham and egg bun,cooked ham
ham sandwich,ham
hamburger,lettuce
hamburger,cucumber
hamburger,neata
hamburger,tomato
hamburger,Allium
hamburger,onion
hamburger,meat
hamdog,hot dog
horseshoe sandwich,fries
horseshoe sandwich,cheese sauce
hot dog,sauce
hot dog,Vienna sausage
Italian beef,au jus
Italian beef,roast beef
Italian beef,Giardiniera
ITSA Burger,lettuce
ITSA Burger,tomato
ITSA Burger,onion
ITSA Burger,burger bun
jam sandwich,jam
jambon-beurre,ham
jambon-beurre,butter
Japadog,sausage
jibarito,cooking banana
Jucy Lucy,hamburger
Karlsbader Schnitte,ham
Karlsbader Schnitte,cheese
katsu sandwich,breaded cutlet
Kek Lapis Sarawak,butter
kiluvõileib,sprat
kimchi burger,kimchi
kroket sandwich,croquette
kroket sandwich,mustard
kumru,fried egg
kumru,sujuk
kumru,kaşar
kumru,tomato
lamb burger,lamb meat
lamb burger,hamburger
Limburger sandwich,Limburger
lobster roll,lobster
Loco moco,pilaf
lomito,loin
lomito,table salt
lomito,oil
lomito,black pepper
Luther Burger,hamburger
martino,Tabasco sauce
martino,Worcestershire sauce
martino,pickle
martino,onion
martino,filet américain
martino,ketchup
martino,peri-peri sauce
martino,cayenne pepper
McBaguette,Emmental
McBaguette,Emmental
McBaguette,neata
McBaguette,neata
McBaguette,laitue batavia
McBaguette,laitue batavia
McBaguette,Piper nigrum
McBaguette,Piper nigrum
McBaguette,sauce moutarde
McBaguette,sauce moutarde
McDouble,mustard
McDouble,pickled cucumber
McDouble,American cheese
McDouble,neata
McDouble,onion
McDouble,ketchup
McKroket,croquette
McKroket,burger bun
meatball sandwich,meatball
